pau pau
R pau
sil sil
inhale inhale
br inhale
exhale exhale
vf vf
a a
i i
u u
oo oo
e e
ae ae
ia ia
ua ua
ooa ooa
o o
oh oh
eh eh
ai ai
ao ao
N N
M M
NG NG
gcl gcl
bcl bcl
dcl dcl
ga g a
gi g i
niab n ia bcl
nuab n ua bcl
nooab n ooa bcl
nob n o bcl
nohb n oh bcl
nehb n eh bcl
naib n ai bcl
naob n ao bcl
nag n a gcl
nig n i gcl
nug n u gcl
noog n oo gcl
neg n e gcl
naeg n ae gcl
niag n ia gcl
nuag n ua gcl
nooag n ooa gcl
nog n o gcl
nohg n oh gcl
nehg n eh gcl
naig n ai gcl
naog n ao gcl
na n a
ni n i
nu n u
noo n oo
ne n e
nae n ae
nia n ia
nua n ua
nooa n ooa
no n o
noh n oh
neh n eh
nai n ai
nao n ao
naw n a w
niw n i w
nuw n u w
noow n oo w
new n e w
naew n ae w
niaw n ia w
nuaw n ua w
nooaw n ooa w
now n o w
nohw n oh w
nehw n eh w
naiw n ai w
naow n ao w
nal n a l
nil n i l
nul n u l
nool n oo l
nel n e l
nael n ae l
nial n ia l
nual n ua l
nooal n ooa l
nol n o l
nohl n oh l
nehl n eh l
nail n ai l
naol n ao l
nan n a N
nin n i N
nun n u N
noon n oo N
nen n e N
naen n ae N
nian n ia N
nuan n ua N
nooan n ooa N
non n o N
nohn n oh N
nehn n eh N
nain n ai N
naon n ao N
nam n a M
nim n i M
num n u M
noom n oo M
nem n e M
naem n ae M
niam n ia M
nuam n ua M
nooam n ooa M
nom n o M
nohm n oh M
nehm n eh M
naim n ai M
naom n ao M
nang n a NG
ning n i NG
nung n u NG
noong n oo NG
neng n e NG
naeng n ae NG
niang n ia NG
nuang n ua NG
nooang n ooa NG
nong n o NG
nohng n oh NG
nehng n eh NG
naing n ai NG
naong n ao NG
nad n a dcl
nid n i dcl
nud n u dcl
nood n oo dcl
ned n e dcl
naed n ae dcl
niad n ia dcl
nuad n ua dcl
nooad n ooa dcl
nod n o dcl
nohd n oh dcl
nehd n eh dcl
naid n ai dcl
naod n ao dcl
nab n a bcl
nib n i bcl
nub n u bcl
noob n oo bcl
neb n e bcl
naeb n ae bcl
niab n ia bcl
nuab n ua bcl
nooab n ooa bcl
nob n o bcl
nohb n oh bcl
nehb n eh bcl
naib n ai bcl
naob n ao bcl
nag n a gcl
nig n i gcl
nug n u gcl
noog n oo gcl
neg n e gcl
naeg n ae gcl
niag n ia gcl
nuag n ua gcl
